sqlTypeId	javaclass	need args	full text indexable	StandardSQL	DB2	H2	HSQLDB	MySQL	Oracle	PostgreSQL	SQLite	SQLServer	SQLServer 2008	MSAccess
blob	java.sql.Blob			${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true	bytea=true	none=true	varbinary(max)=false	varbinary(max)=false	longbinary=true
blob(n)	java.sql.Blob			${sqlTypeId}=true|blob=true	${sqlTypeId}=true|blob=true	${sqlTypeId}=true|blob=true	${sqlTypeId}=true|blob=true	blob=false	blob=false	bytea=false	none=false	varbinary(n)=false	varbinary(n)=false	longbinary=false
bfile	java.sql.Blob			blob=false	blob=false	blob=false	blob=false	blob=false	${sqlTypeId}=true	bytea=false	none=false	varbinary(max)=false	varbinary(max)=false	longbinary=false
varbinary	java.sql.Blob			${sqlTypeId}=true	varchar(n) for bit data=false	${sqlTypeId}=true	${sqlTypeId}=true	varbinary(n)=false	blob=false	bytea=false	none=false	varbinary(max)=true	varbinary(max)=true	longbinary=false
varbinary(n)	java.sql.Blob			${sqlTypeId}=true|varbinary=true	varchar(n) for bit data=true|varchar () for bit data=true	${sqlTypeId}=true|varbinary=true	${sqlTypeId}=true|varbinary=true	${sqlTypeId}=true|varbinary=true	blob=false	bytea=false	none=false	${sqlTypeId}=true|varbinary=true	${sqlTypeId}=true|varbinary=true	longbinary=false
array	java.lang.Object
bigint	java.lang.Long			${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true	number(19,0)=false|number(19,0)=true	${sqlTypeId}=true|int8=true	integer=false	${sqlTypeId}=true	${sqlTypeId}=true	long=true|integer=true
bigint(n)	java.lang.Long			bigint=false	bigint=false	bigint=false	bigint=false	${sqlTypeId}=true	number(19,0)=false	bigint=false	integer=false	bigint=false	bigint=false	long=false
bigserial	java.lang.Long			bigint=false	bigint=false	bigint=false	bigint=false	bigint=false	number(19,0)=false	${sqlTypeId}=true	integer=false	bigint=false	bigint=false	counter=false
binary_double	java.lang.Double			double=false	double=false	double=false	double=false	double=false	${sqlTypeId}=true	double precision=false	real=false	float(53)=false	float(53)=false	double=false
binary_float	java.lang.Float			float=false	decfloat=false	float=false	float=false	float=false	${sqlTypeId}=true	float=false	real=false	float=false	float=false	double=false
binary(n)	java.sql.Blob			${sqlTypeId}=true|binary=true	char(n) for bit data=true|char () for bit data=true	binary=true	binary=true	${sqlTypeId}=true|binary=true	raw(n)=false	bytea=false	none=false	${sqlTypeId}=true|binary=true	${sqlTypeId}=true|binary=true	longbinary=false
binary1	java.sql.Blob			binary=true	char for bit data=true	binary=false	binary=false	binary=true	raw(1)=true	bytea=false	none=false	binary=true	binary=true	longbinary=false
bit	java.lang.String			${sqlTypeId}=true	char(1)=false	${sqlTypeId}=true	${sqlTypeId}=true	bit(1)=false	char(1)=false	${sqlTypeId}=true	text=false	${sqlTypeId}=true	${sqlTypeId}=true	yesno=false
bit(n)	java.lang.String			${sqlTypeId}=true|bit=true	char(n)=false	char(n)=false	char(n)=false	${sqlTypeId}=true|bit=true	char(n)=false	${sqlTypeId}=true|bit=true	text=false	char(n)=false	char(n)=false	text=false
bit varying	java.lang.String		TRUE	${sqlTypeId}=true	varchar(n)=false	varchar=false	varchar=false	text=false	varchar2(n)=false	${sqlTypeId}=true|varbit=true	text=false	varchar(max)=false	varchar(max)=false	text=false
bit varying(n)	java.lang.String		TRUE	${sqlTypeId}=true|bit varying=true	varchar(n)=false	varchar(n)=false	varchar(n)=false	varchar(n)=false	varchar2(n)=false	${sqlTypeId}=true|varbit=true	text=false	varchar(n)=false	varchar(n)=false	text=false
boolean	java.lang.Boolean			${sqlTypeId}=true	char(1)=false	${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true|bit=true	char(1)=false	${sqlTypeId}=true|bool=true	text=false	bit=false	bit=false	yesno=true|bit=true
box	java.lang.Object									${sqlTypeId}=true	none=false
char	java.lang.String		TRUE	${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true	text=false	${sqlTypeId}=true	${sqlTypeId}=true	text=false
nchar	java.lang.String		TRUE	${sqlTypeId}=true	graphic=true	char=false	char=false	char=false	${sqlTypeId}=true	char=false	text=false	${sqlTypeId}=true	${sqlTypeId}=true	text=false
cidr	java.lang.String									${sqlTypeId}=true	none=false
circle	java.lang.Object									${sqlTypeId}=true	none=false
date	java.util.Date			${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true	none=false	${sqlTypeId}=true	${sqlTypeId}=true	datetime=false
dbclob	java.lang.String		TRUE	clob=false	${sqlTypeId}=true	clob=false	clob=false	text=false	clob=false	text=false	text=false	text=false	text=false	memo=false
dbclob(n)	java.lang.String		TRUE	clob=false	${sqlTypeId}=true|dbclob=true	clob(n)=false	clob(n)=false	text=false	clob=false	text=false	text=false	text=false	text=false	memo=false
double precision(m,d)	java.lang.Double				decimal(p,s)=false	decimal(p,s)=false	decimal(p,s)=false	double(m,d)=true|double=true	number(p,s)=false	decimal(p,s)=false	real=false	decimal(p,s)=false	decimal(p,s)=false	double=false
enum	java.lang.Object	TRUE						${sqlTypeId}=true						text=false
decfloat16	java.lang.Float			float=false	decfloat(16)=true	float=false	float=false	float=false	float=false	float=false	real=false	float=false	float=false	double=false
